path,filename,dataset,duration,sample_rate,gender,age,emotion,zcr_mean,zcr_var,spec_centroid,spec_skew,spec_flatness,spec_peak,spec_entropy,spec_prec,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6
data/cremad/AudioWAV/1001_DFA_ANG_XX.wav,1001_DFA_ANG_XX.wav,CREMA-D,2.2755625,16000,male,51,angry,0.10340559,0.006403992,1844.920775,4.850213684,0.413262754,36.19920682,0.911083913,0.439451784,65.85604934,1.606547443,0.346886807,4.391670767,2.219808314,-1.096312918,457.6373081,19.12486649,32.23573801,23.87936352,25.67460215,32.77378959
data/cremad/AudioWAV/1001_DFA_DIS_XX.wav,1001_DFA_DIS_XX.wav,CREMA-D,2.3356875,16000,male,51,disgust,0.094102648,0.006842312,2012.254458,4.879420984,0.519950806,39.8978088,0.926401015,0.428139466,60.41934351,1.376284472,-0.013653953,5.417588444,4.549588498,-1.683664147,243.6329732,14.12226957,25.57936209,14.68794562,14.30280073,37.93944609
data/cremad/AudioWAV/1001_DFA_FEA_XX.wav,1001_DFA_FEA_XX.wav,CREMA-D,2.1688125,16000,male,51,fear,0.08541278,0.006510484,1921.745079,6.573913501,0.416344281,73.99511625,0.907797963,0.461081813,63.95673405,1.780492354,0.220687873,4.122277042,3.442631364,-1.506797441,490.4914257,9.374214254,27.35323454,18.67317177,17.00654082,31.94683445
data/cremad/AudioWAV/1001_DFA_HAP_XX.wav,1001_DFA_HAP_XX.wav,CREMA-D,1.8685,16000,male,51,happy,0.086240571,0.004289166,1916.83586,4.16787705,0.458100449,28.9106838,0.918524301,0.535188654,66.25815855,1.696678974,-0.442382262,5.613726788,3.587018557,-2.578033255,427.9531571,10.33346471,21.97108245,17.34140847,26.52865124,31.26860638
data/cremad/AudioWAV/1001_DFA_NEU_XX.wav,1001_DFA_NEU_XX.wav,CREMA-D,2.035375,16000,male,51,neutral,0.082868304,0.003376218,1892.654436,11.12875085,0.373302966,186.196863,0.905285356,0.491309955,61.73144341,2.120058262,-0.112008106,5.140093041,3.227687424,-0.496512341,205.7746293,15.20600573,21.31515764,13.30258711,22.87349409,25.59479436
data/cremad/AudioWAV/1001_DFA_SAD_XX.wav,1001_DFA_SAD_XX.wav,CREMA-D,2.002,16000,male,51,sad,0.088174143,0.006027703,2060.592365,4.126630417,0.497546581,27.22379484,0.922976994,0.4995005,58.1765689,1.41659964,0.651279221,6.275625073,4.977768936,-0.857537527,178.4893299,14.30372085,20.8174528,19.88130592,14.82995574,33.42078552
data/cremad/AudioWAV/1001_IEO_ANG_HI.wav,1001_IEO_ANG_HI.wav,CREMA-D,1.93525,16000,male,51,angry,0.11875,0.010512375,1670.716258,6.084982784,0.337013035,62.93623035,0.893837897,0.516729105,70.61751646,2.051327966,0.281934707,1.619778442,-2.649593623,1.41381632,369.6991991,21.4000289,43.60720108,43.57486474,112.9189897,20.42622233
data/cremad/AudioWAV/1001_IEO_ANG_LO.wav,1001_IEO_ANG_LO.wav,CREMA-D,2.06875,16000,male,51,angry,0.078521729,0.002763437,1556.52717,4.406943262,0.336454173,28.10306984,0.890556592,0.483383686,59.12849674,3.045749981,0.590273383,3.394183862,1.572633512,0.93206239,221.5107403,9.340094816,20.0777713,13.46254987,72.78126986,7.92215372
data/cremad/AudioWAV/1001_IEO_ANG_MD.wav,1001_IEO_ANG_MD.wav,CREMA-D,2.6359375,16000,male,51,angry,0.101419588,0.011116101,1836.7543,4.202563362,0.440259604,26.77299868,0.908350445,0.379371666,62.19018864,3.253874367,0.935923482,2.455085338,-0.39265126,1.470100729,223.9397242,21.01505933,36.17616115,29.7522888,102.8393848,13.6129533
data/cremad/AudioWAV/1001_IEO_DIS_HI.wav,1001_IEO_DIS_HI.wav,CREMA-D,2.002,16000,male,51,disgust,0.108272429,0.007380329,1811.353104,4.722591282,0.383036841,35.45416127,0.90595416,0.4995005,64.90521438,1.507962132,-0.912095345,3.464485134,-0.438259704,0.14095881,319.6722333,15.77803916,32.08784183,23.82260374,110.7797641,19.34771063
data/cremad/AudioWAV/1001_IEO_DIS_LO.wav,1001_IEO_DIS_LO.wav,CREMA-D,2.002,16000,male,51,disgust,0.078314012,0.004331959,1674.959135,4.459171562,0.387972517,34.72280334,0.906485533,0.4995005,53.36131024,2.574181065,1.539594651,2.206228966,2.261231926,1.351619019,73.63486215,10.32927763,18.80037809,16.91836722,32.93757287,10.29827933
data/cremad/AudioWAV/1001_IEO_DIS_MD.wav,1001_IEO_DIS_MD.wav,CREMA-D,1.901875,16000,male,51,disgust,0.095272775,0.010005828,1737.102939,4.622803347,0.41198612,32.08641186,0.900555323,0.525796911,58.72004506,2.476414526,1.304450485,1.83150079,1.164431446,1.10668234,166.6496634,16.93186413,21.19912303,18.24526896,54.45113195,18.71023428
data/cremad/AudioWAV/1001_IEO_FEA_HI.wav,1001_IEO_FEA_HI.wav,CREMA-D,1.56825,16000,male,51,fear,0.100047832,0.005707147,1674.903278,7.184163403,0.316852512,71.03987758,0.876342178,0.637653435,69.5981494,2.026633719,-1.004981595,1.747581684,-0.783394351,0.098913943,449.7157163,11.90738771,30.77132416,50.18153318,87.87588232,10.79580442
data/cremad/AudioWAV/1001_IEO_FEA_LO.wav,1001_IEO_FEA_LO.wav,CREMA-D,1.534875,16000,male,51,fear,0.099443152,0.01075493,1803.443572,5.988002808,0.399823995,52.77552126,0.896810666,0.651518853,61.32641002,2.156710911,1.831596285,2.374026981,0.750896129,1.569101619,238.0606748,17.73723207,27.33919233,23.04392541,67.18625514,10.73261638
data/cremad/AudioWAV/1001_IEO_FEA_MD.wav,1001_IEO_FEA_MD.wav,CREMA-D,1.601625,16000,male,51,fear,0.106210938,0.009622829,1637.096135,4.670617151,0.36583951,31.94026731,0.89431057,0.624365878,64.76582076,2.11884886,0.638439911,2.524246691,-0.315523705,0.321364527,348.7355876,17.19331934,26.78544817,27.35028326,72.92829827,13.820433
data/cremad/AudioWAV/1001_IEO_HAP_HI.wav,1001_IEO_HAP_HI.wav,CREMA-D,1.7684375,16000,male,51,happy,0.133771307,0.006764147,1802.98623,5.200283016,0.362736259,37.01158027,0.890777235,0.565470931,75.59696825,1.1892679,-2.430941082,-0.284993854,-2.256230991,-0.922893346,384.8229244,14.99447743,46.47743543,79.12519495,93.1629004,34.26601956
data/cremad/AudioWAV/1001_IEO_HAP_LO.wav,1001_IEO_HAP_LO.wav,CREMA-D,1.7016875,16000,male,51,happy,0.091796875,0.006808208,1779.282988,4.258780723,0.376652078,25.64429493,0.899419096,0.587651963,60.59057115,2.252835139,0.957699284,3.460789663,0.342298159,2.525277155,249.8808265,11.0212357,21.78941622,22.91419524,71.70131559,9.549385096
data/cremad/AudioWAV/1001_IEO_HAP_MD.wav,1001_IEO_HAP_MD.wav,CREMA-D,1.6683125,16000,male,51,happy,0.096041166,0.010811858,1713.78488,4.772519172,0.354888345,35.90954637,0.895671204,0.599408085,62.75178497,2.159740804,0.486843169,2.573607511,0.496148755,1.358857779,326.2326853,13.99305217,30.01392899,25.03517533,69.73025406,13.38358745
data/cremad/AudioWAV/1001_IEO_NEU_XX.wav,1001_IEO_NEU_XX.wav,CREMA-D,1.601625,16000,male,51,neutral,0.0971875,0.008643724,2136.263727,6.178717078,0.522285639,59.83176639,0.917705203,0.624365878,59.52640246,1.854522063,1.735548916,2.989485792,1.35555509,1.367905038,164.378627,12.88937741,16.95218026,13.90004946,59.31329103,12.89883039
data/cremad/AudioWAV/1001_IEO_SAD_HI.wav,1001_IEO_SAD_HI.wav,CREMA-D,2.002,16000,male,51,sad,0.084771925,0.010539628,1753.030776,5.920286138,0.412137511,48.68154774,0.895615132,0.4995005,57.11555582,3.221861584,1.854233538,3.195361796,2.971281556,-0.601054994,125.8182422,21.64587361,17.94217642,13.80400176,41.91060511,21.98775182
data/cremad/AudioWAV/1001_IEO_SAD_LO.wav,1001_IEO_SAD_LO.wav,CREMA-D,1.901875,16000,male,51,sad,0.07882018,0.007600293,2520.944195,6.238412688,0.547349168,63.576059,0.926181766,0.525796911,56.88523451,3.149501704,2.499235919,2.412690459,2.293615241,0.878552154,106.5847038,15.01495387,8.942879003,13.1975132,29.81104027,9.748951577
data/cremad/AudioWAV/1001_IEO_SAD_MD.wav,1001_IEO_SAD_MD.wav,CREMA-D,1.7350625,16000,male,51,sad,0.085539641,0.008021859,1764.575474,4.93810268,0.383516094,38.48019816,0.908339912,0.576348114,58.60319989,3.608850724,1.331723897,2.937615178,2.494071184,-0.912902675,94.28684085,16.43852077,15.69516185,12.58376192,33.86160153,11.90121117
data/cremad/AudioWAV/1001_IOM_ANG_XX.wav,1001_IOM_ANG_XX.wav,CREMA-D,2.1354375,16000,male,51,angry,0.081587358,0.002321894,1348.866728,7.273562458,0.314188991,75.01352457,0.872732492,0.468288114,63.29025474,2.06057911,-0.516702657,7.066585856,2.37137076,-0.912097535,232.422942,15.90855796,10.79694516,36.28095859,56.64897871,21.91961474
data/cremad/AudioWAV/1001_IOM_DIS_XX.wav,1001_IOM_DIS_XX.wav,CREMA-D,2.2689375,16000,male,51,disgust,0.075446429,0.001854957,1569.985687,4.396759808,0.370671874,29.15039127,0.901210579,0.440734925,56.92784712,2.423036243,1.215276458,5.714946011,3.401756494,-2.074393817,133.1145427,10.4556677,13.57861807,29.61758018,34.2554684,27.80479655
data/cremad/AudioWAV/1001_IOM_FEA_XX.wav,1001_IOM_FEA_XX.wav,CREMA-D,2.8361875,16000,male,51,fear,0.086603338,0.00472127,1665.313869,4.70901204,0.352991013,33.2087085,0.904969999,0.352585998,68.30392273,2.154327733,-0.258082354,8.220699283,2.202311731,-1.350494507,296.927463,21.96384989,20.05237935,48.68409337,67.29393087,22.2092432
data/cremad/AudioWAV/1001_IOM_HAP_XX.wav,1001_IOM_HAP_XX.wav,CREMA-D,2.002,16000,male,51,happy,0.0703125,0.002889414,1675.009513,8.840197271,0.338404498,115.0169805,0.892845094,0.4995005,64.55325777,2.50976394,1.540685851,6.362930042,0.964698706,-1.285065789,350.2815921,11.16733713,16.3418028,35.01768274,60.88763456,23.83765826
data/cremad/AudioWAV/1001_IOM_NEU_XX.wav,1001_IOM_NEU_XX.wav,CREMA-D,2.469125,16000,male,51,neutral,0.068511567,0.001895279,1477.554323,7.634074643,0.341071663,82.12947159,0.883210639,0.405001772,60.06033999,2.703645141,1.250496865,6.011389787,0.808745793,-0.3401073,227.1163648,9.383797432,11.45998671,32.94976869,89.1115577,17.45576229
data/cremad/AudioWAV/1001_IOM_SAD_XX.wav,1001_IOM_SAD_XX.wav,CREMA-D,1.93525,16000,male,51,sad,0.078417969,0.002947639,1579.316039,5.688652129,0.40333558,48.42007548,0.896647339,0.516729105,59.98489554,3.15145332,0.773755787,5.47223843,2.256277329,-2.061581362,174.7751857,17.201229,16.55670652,29.95141083,40.71800349,21.2782039
data/cremad/AudioWAV/1001_ITH_ANG_XX.wav,1001_ITH_ANG_XX.wav,CREMA-D,2.369,16000,male,51,angry,0.097207559,0.004266038,1667.506826,3.502258351,0.372819422,19.97157821,0.909630793,0.422119038,66.15194107,2.256910833,-1.530425904,3.577215555,3.076974267,-1.27219098,326.1786766,11.5509413,37.3255096,22.05435996,39.09952522,27.04752186
data/cremad/AudioWAV/1001_ITH_DIS_XX.wav,1001_ITH_DIS_XX.wav,CREMA-D,2.1688125,16000,male,51,disgust,0.112785681,0.005395062,1895.798514,3.899941537,0.459499903,24.07893475,0.923601849,0.461081813,62.92291258,1.329627126,-1.734244678,3.97098839,2.10076683,-0.813283878,172.4120411,14.67616108,25.59831193,22.2216679,29.28010119,21.79887663
data/cremad/AudioWAV/1001_ITH_FEA_XX.wav,1001_ITH_FEA_XX.wav,CREMA-D,2.102125,16000,male,51,fear,0.089393029,0.002824637,1543.005002,4.057761504,0.314924861,24.39555583,0.89387013,0.475709104,70.57574262,2.762992523,-1.648966456,2.890531517,2.987491922,-1.21187582,441.4346145,10.70899969,32.90508735,32.9987915,37.5736021,24.16818349
