"path","filename","dataset","duration","sample_rate","gender","age","emotion","f0_mean","f0_median","f0_std","f0_min","f0_max","f0_25","f0_75","zcr_mean","zcr_var","spec_centroid","spec_skew","spec_flatness","spec_peak","spec_entropy","spec_prec","mfcc_mean_1","mfcc_mean_2","mfcc_mean_3","mfcc_mean_4","mfcc_mean_5","mfcc_mean_6","mfcc_mean_7","mfcc_mean_8","mfcc_mean_9","mfcc_mean_10","mfcc_mean_11","mfcc_mean_12","mfcc_mean_13","mfcc_mean_14","mfcc_mean_15","mfcc_mean_16","mfcc_mean_17","mfcc_mean_18","mfcc_mean_19","mfcc_mean_20","mfcc_var_1","mfcc_var_2","mfcc_var_3","mfcc_var_4","mfcc_var_5","mfcc_var_6","mfcc_var_7","mfcc_var_8","mfcc_var_9","mfcc_var_10","mfcc_var_11","mfcc_var_12","mfcc_var_13","mfcc_var_14","mfcc_var_15","mfcc_var_16","mfcc_var_17","mfcc_var_18","mfcc_var_19","mfcc_var_20"
"data/cremad/AudioWAV/1004_DFA_NEU_XX.wav","1004_DFA_NEU_XX.wav","CREMA-D","3.103125","16000","female","42","neutral","3.928571","4","1.083931","2.285714","5.333333","3.666667","4.333333","0.1103516","0.01269146","2301.736","4.123489","0.4923722","27.67791","0.9401541","0.3222558","57.07187","1.249424","1.464011","1.659673","2.262507","-1.01131","-0.122282","1.667136","-0.7944454","-1.956172","3.101266","-1.279328","1.32274","-2.458064","-2.428459","-1.008218","-2.927404","-0.8577431","-1.263212","-1.791268","140.3421","23.82303","27.03729","22.75388","15.46272","31.56912","12.27305","17.36588","14.70291","17.07752","21.46073","14.67567","20.02554","22.01402","14.99513","18.04629","20.4311","21.00809","14.38533","17.29803"
"data/cremad/AudioWAV/1004_DFA_SAD_XX.wav","1004_DFA_SAD_XX.wav","CREMA-D","2.836187","16000","female","42","sad","3.928571","4","1.083931","2.285714","5.333333","3.666667","4.333333","0.1103516","0.01269146","2301.736","4.123489","0.4923722","27.67791","0.9401541","0.3222558","57.07187","1.249424","1.464011","1.659673","2.262507","-1.01131","-0.122282","1.667136","-0.7944454","-1.956172","3.101266","-1.279328","1.32274","-2.458064","-2.428459","-1.008218","-2.927404","-0.8577431","-1.263212","-1.791268","140.3421","23.82303","27.03729","22.75388","15.46272","31.56912","12.27305","17.36588","14.70291","17.07752","21.46073","14.67567","20.02554","22.01402","14.99513","18.04629","20.4311","21.00809","14.38533","17.29803"
"data/cremad/AudioWAV/1004_IEO_ANG_HI.wav","1004_IEO_ANG_HI.wav","CREMA-D","4.004000","16000","female","42","angry","3.928571","4","1.083931","2.285714","5.333333","3.666667","4.333333","0.1103516","0.01269146","2301.736","4.123489","0.4923722","27.67791","0.9401541","0.3222558","57.07187","1.249424","1.464011","1.659673","2.262507","-1.01131","-0.122282","1.667136","-0.7944454","-1.956172","3.101266","-1.279328","1.32274","-2.458064","-2.428459","-1.008218","-2.927404","-0.8577431","-1.263212","-1.791268","140.3421","23.82303","27.03729","22.75388","15.46272","31.56912","12.27305","17.36588","14.70291","17.07752","21.46073","14.67567","20.02554","22.01402","14.99513","18.04629","20.4311","21.00809","14.38533","17.29803"
"data/cremad/AudioWAV/1004_IEO_ANG_LO.wav","1004_IEO_ANG_LO.wav","CREMA-D","2.669313","16000","female","42","angry","3.928571","4","1.083931","2.285714","5.333333","3.666667","4.333333","0.1103516","0.01269146","2301.736","4.123489","0.4923722","27.67791","0.9401541","0.3222558","57.07187","1.249424","1.464011","1.659673","2.262507","-1.01131","-0.122282","1.667136","-0.7944454","-1.956172","3.101266","-1.279328","1.32274","-2.458064","-2.428459","-1.008218","-2.927404","-0.8577431","-1.263212","-1.791268","140.3421","23.82303","27.03729","22.75388","15.46272","31.56912","12.27305","17.36588","14.70291","17.07752","21.46073","14.67567","20.02554","22.01402","14.99513","18.04629","20.4311","21.00809","14.38533","17.29803"
"data/cremad/AudioWAV/1004_IEO_ANG_MD.wav","1004_IEO_ANG_MD.wav","CREMA-D","2.902875","16000","female","42","angry","3.928571","4","1.083931","2.285714","5.333333","3.666667","4.333333","0.1103516","0.01269146","2301.736","4.123489","0.4923722","27.67791","0.9401541","0.3222558","57.07187","1.249424","1.464011","1.659673","2.262507","-1.01131","-0.122282","1.667136","-0.7944454","-1.956172","3.101266","-1.279328","1.32274","-2.458064","-2.428459","-1.008218","-2.927404","-0.8577431","-1.263212","-1.791268","140.3421","23.82303","27.03729","22.75388","15.46272","31.56912","12.27305","17.36588","14.70291","17.07752","21.46073","14.67567","20.02554","22.01402","14.99513","18.04629","20.4311","21.00809","14.38533","17.29803"
"data/cremad/AudioWAV/1004_IEO_DIS_HI.wav","1004_IEO_DIS_HI.wav","CREMA-D","4.838188","16000","female","42","disgust","3.928571","4","1.083931","2.285714","5.333333","3.666667","4.333333","0.1103516","0.01269146","2301.736","4.123489","0.4923722","27.67791","0.9401541","0.3222558","57.07187","1.249424","1.464011","1.659673","2.262507","-1.01131","-0.122282","1.667136","-0.7944454","-1.956172","3.101266","-1.279328","1.32274","-2.458064","-2.428459","-1.008218","-2.927404","-0.8577431","-1.263212","-1.791268","140.3421","23.82303","27.03729","22.75388","15.46272","31.56912","12.27305","17.36588","14.70291","17.07752","21.46073","14.67567","20.02554","22.01402","14.99513","18.04629","20.4311","21.00809","14.38533","17.29803"
"data/cremad/AudioWAV/1004_IEO_DIS_LO.wav","1004_IEO_DIS_LO.wav","CREMA-D","2.435750","16000","female","42","disgust","3.928571","4","1.083931","2.285714","5.333333","3.666667","4.333333","0.1103516","0.01269146","2301.736","4.123489","0.4923722","27.67791","0.9401541","0.3222558","57.07187","1.249424","1.464011","1.659673","2.262507","-1.01131","-0.122282","1.667136","-0.7944454","-1.956172","3.101266","-1.279328","1.32274","-2.458064","-2.428459","-1.008218","-2.927404","-0.8577431","-1.263212","-1.791268","140.3421","23.82303","27.03729","22.75388","15.46272","31.56912","12.27305","17.36588","14.70291","17.07752","21.46073","14.67567","20.02554","22.01402","14.99513","18.04629","20.4311","21.00809","14.38533","17.29803"
"data/cremad/AudioWAV/1004_IEO_DIS_MD.wav","1004_IEO_DIS_MD.wav","CREMA-D","3.636938","16000","female","42","disgust","3.928571","4","1.083931","2.285714","5.333333","3.666667","4.333333","0.1103516","0.01269146","2301.736","4.123489","0.4923722","27.67791","0.9401541","0.3222558","57.07187","1.249424","1.464011","1.659673","2.262507","-1.01131","-0.122282","1.667136","-0.7944454","-1.956172","3.101266","-1.279328","1.32274","-2.458064","-2.428459","-1.008218","-2.927404","-0.8577431","-1.263212","-1.791268","140.3421","23.82303","27.03729","22.75388","15.46272","31.56912","12.27305","17.36588","14.70291","17.07752","21.46073","14.67567","20.02554","22.01402","14.99513","18.04629","20.4311","21.00809","14.38533","17.29803"
"data/cremad/AudioWAV/1004_IEO_FEA_HI.wav","1004_IEO_FEA_HI.wav","CREMA-D","3.370000","16000","female","42","fear","3.928571","4","1.083931","2.285714","5.333333","3.666667","4.333333","0.1103516","0.01269146","2301.736","4.123489","0.4923722","27.67791","0.9401541","0.3222558","57.07187","1.249424","1.464011","1.659673","2.262507","-1.01131","-0.122282","1.667136","-0.7944454","-1.956172","3.101266","-1.279328","1.32274","-2.458064","-2.428459","-1.008218","-2.927404","-0.8577431","-1.263212","-1.791268","140.3421","23.82303","27.03729","22.75388","15.46272","31.56912","12.27305","17.36588","14.70291","17.07752","21.46073","14.67567","20.02554","22.01402","14.99513","18.04629","20.4311","21.00809","14.38533","17.29803"
"data/cremad/AudioWAV/1004_IEO_FEA_LO.wav","1004_IEO_FEA_LO.wav","CREMA-D","3.436750","16000","female","42","fear","3.928571","4","1.083931","2.285714","5.333333","3.666667","4.333333","0.1103516","0.01269146","2301.736","4.123489","0.4923722","27.67791","0.9401541","0.3222558","57.07187","1.249424","1.464011","1.659673","2.262507","-1.01131","-0.122282","1.667136","-0.7944454","-1.956172","3.101266","-1.279328","1.32274","-2.458064","-2.428459","-1.008218","-2.927404","-0.8577431","-1.263212","-1.791268","140.3421","23.82303","27.03729","22.75388","15.46272","31.56912","12.27305","17.36588","14.70291","17.07752","21.46073","14.67567","20.02554","22.01402","14.99513","18.04629","20.4311","21.00809","14.38533","17.29803"
